id,name,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,wine_category,taste_group,is_organic,bottled_volume,packaging_closing,container_type,category,sub_category,price,inventory,is_on_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
21953,Santa Tresa Grillo Viognier,ítalía,sikiley,terre siciliane,2014,13.5,grillo,02M,t,750.0,skruf,flaska,white,,2350.0,0,f,f,f,2016-01-01,t,f
21963,Wine Maker's Pride Sauvignon Blanc,chile,aconcagua,valle de casablanca,2013,13.0,sauvignon blanc,02M,f,750.0,skruf,flaska,white,,1769.0,0,f,f,f,2015-04-01,t,f
21964,Massai Shiraz,suðurafríka,,western cape,2013,14.5,shiraz,01M,f,750.0,skruf,flaska,red,,1849.0,0,f,f,f,2015-04-01,t,f
21966,Imbuko Chardonnay,suðurafríka,,western cape,2014,13.5,chardonnay,02M,f,750.0,skruf,flaska,white,,1611.0,0,f,f,f,2015-04-01,t,f
21967,Massai Viognier,suðurafríka,,western cape,2014,14.0,viognier,02M,f,750.0,skruf,flaska,white,,1799.0,0,f,f,f,2015-04-01,t,f
21970,Jaume Serra Cava Brut Nature Vintage,spánn,,cava,2011,11.5,chardonnay,04,f,750.0,f-korkur,flaska,bubbly,,1799.0,6,f,f,f,2016-04-01,t,f
21971,Selvapiana Bucerchiale Riserva,ítalía,toskana,chianti rufina,2011,15.0,sangiovese,01T,f,750.0,korkur,flaska,red,,4995.0,0,f,f,f,2016-04-01,t,f
21973,Sólbert Aldinbjór með brómberjabragði,ísland,,,,4.5,,,f,330.0,crown,flaska,cidersoda,soda,339.0,624,f,f,f,2015-06-01,t,f
21974,Sólbert Aldinbjór með sítrónubragði,ísland,,,,4.5,,,f,330.0,crown,flaska,cidersoda,soda,339.0,0,f,f,f,2015-06-01,t,f
21975,Campari Bitter,ítalía,,,,21.0,,,f,500.0,skruf,flaska,strong,bitterspice,3499.0,95,f,f,f,2015-10-01,t,f
