id,name,supplier,country_of_origin,district_of_origin,place_of_origin,year,alcohol_volume,grape,taste_group,is_organic,bottled_volume,seal,container,category,sub_category,goes_with,price,is_temp_sale,is_special_order,is_special_reserve,date_on_market,is_available,is_gift
1543,Carlsberg,Ölgerðin Egill Skallagríms ehf,ísland,,,,4.5,,60LL,false,500.0,,dós,beer,,{},329,false,false,false,1998-12-01,true,false
1547,Beck's,Haugen-Gruppen ehf.,þýskaland,,,,5.0,,60LL,false,500.0,,dós,beer,,{},369,false,false,false,2000-01-01,true,false
1554,Holsten,Bakkus ehf.,þýskaland,,,,5.0,,60LL,false,500.0,,dós,beer,,{},314,false,false,false,2016-02-01,true,false
1556,Holsten Festbock,Bakkus ehf.,þýskaland,,,,7.0,,60DL,false,500.0,,dós,beer,,{},469,false,false,false,2016-02-01,true,false
156,Santa Cristina Toscana,Globus hf,ítalía,toskana,toscana,2013,12.5,sangiovese,01M,false,750.0,korkur,flaska,red,,"{3,D,M,P,Y}",1999,false,false,false,2000-01-01,true,false
1568,Lapin Kulta Export,HOB-vín ehf,danmörk,,,,5.2,,60LL,false,330.0,,dós,beer,,{},239,false,false,false,2014-06-01,true,false
1574,Rivetto Barbera d'Alba Nemes,Haugen-Gruppen ehf.,ítalía,piemonte,alba,2012,13.5,barbera,01T,false,750.0,korkur,flaska,red,,"{G,J,P,S,Æ}",3499,false,false,false,2015-07-01,true,false
1577,Finlandia Cranberry,Mekka Wines & Spirits hf,finnland,,,,37.5,,,false,700.0,skrúftappi,flaska,strong,vodka,{},5499,false,false,false,2012-10-01,true,false
1585,Founders Centennial IPA (fl.),Járn og gler hf,bandaríkin,,,,7.2,,61ÖL,false,355.0,crown,flaska,beer,,{},609,false,false,false,2015-06-01,true,false
1593,The Naked Grouse,Haugen-Gruppen ehf.,stórabretland,,,,40.0,,,false,700.0,korktappi,flaska,strong,whisky,{},8999,false,false,false,2016-01-01,true,false
1606,Moosehead Lager,Elgur ehf,kanada,,,,5.0,,60LL,false,355.0,,dós,beer,,{},299,false,false,false,2015-06-01,true,false
